Date,SPY,AGG,DBC,GLD
2008-02-22,97.957,61.877,30.369,93.39
2008-02-25,99.193,61.658,30.662,92.74
2008-02-26,99.937,61.956,31.316,93.71
2008-02-27,99.835,62.084,31.273,94.78
2008-02-28,98.86,62.456,31.574,95.99
2008-02-29,96.657,62.693,31.058,96.18
2008-03-03,96.426,62.683,31.514,97.24
2008-03-04,96.058,62.414,31.402,95.18
2008-03-05,96.665,62.016,32.09,97.72
2008-03-06,94.664,61.925,32.331,96.5
2008-03-07,93.689,62.114,32.004,96.09
2008-03-10,92.454,62.444,32.606,95.87
2008-03-11,95.776,62.065,33.114,95.99
2008-03-12,94.881,62.701,33.475,97.01
2008-03-13,95.09,62.432,33.51,98.34
2008-03-14,93.617,62.695,33.467,98.71
2008-03-17,92.67,62.964,32.125,99.17
2008-03-18,96.52,62.817,32.839,96.5
2008-03-19,94.129,63.007,31.419,93.04
2008-03-20,95.873,63.227,30.154,89.91
2008-03-24,97.789,62.762,30.705,90.1
2008-03-25,97.884,62.878,31.015,92.73
2008-03-26,96.686,62.695,31.944,93.8
2008-03-27,96.381,62.72,32.297,93.46
2008-03-28,95.459,62.872,31.531,91.88
2008-03-31,95.793,62.775,30.774,90.41
2008-04-01,99.161,62.348,30.602,86.86
2008-04-02,99.226,62.379,31.514,89.27
2008-04-03,99.473,62.575,31.686,89.42
2008-04-04,99.364,62.894,31.909,90.25
2008-04-07,99.415,62.888,32.254,91.17
2008-04-08,99.314,62.882,32.383,90.35
2008-04-09,98.595,63.158,32.925,92.29
2008-04-10,98.733,62.962,32.778,91.77
2008-04-11,96.816,63.097,32.649,91.3
2008-04-14,96.49,63.023,32.873,91.11
2008-04-15,96.715,62.686,33.269,91.66
2008-04-16,99.335,62.458,33.587,93.27
2008-04-17,99.48,62.446,33.432,92.56
2008-04-18,100.518,62.612,33.449,90.62
2008-04-21,100.569,62.618,33.492,90.25
2008-04-22,100.126,62.71,33.699,90.27
2008-04-23,99.967,62.649,33.381,89.22
2008-04-24,100.402,62.415,32.821,87.22
2008-04-25,101.331,62.354,33.424,87.27
2008-04-28,101.353,62.508,33.501,87.69
2008-04-29,100.954,62.6,32.692,85.81
2008-04-30,100.359,62.98,32.632,86.65
2008-05-01,102.435,62.873,31.875,83.99
2008-05-02,102.718,62.768,32.684,84.58
2008-05-05,102.224,62.793,33.363,86.27
2008-05-06,103.11,62.59,33.802,86.63
2008-05-07,101.273,62.768,33.862,85.82
2008-05-08,101.012,62.928,34.413,87.24
2008-05-09,100.823,62.953,34.946,87.42
2008-05-12,101.956,62.842,34.353,86.99
2008-05-13,101.97,62.485,34.542,85.39
2008-05-14,102.181,62.578,33.983,85.2
2008-05-15,103.458,62.91,34.37,87.0
2008-05-16,103.553,62.756,34.869,89.1
2008-05-19,103.836,62.861,34.921,89.39
2008-05-20,102.994,62.996,35.402,90.9
2008-05-21,101.252,62.91,36.435,91.96
2008-05-22,101.266,62.534,35.91,90.98
2008-05-23,99.909,62.775,35.979,91.23
2008-05-27,100.649,62.424,35.402,89.36
2008-05-28,101.114,62.134,35.626,89.14
2008-05-29,101.622,61.962,34.654,86.51
2008-05-30,101.876,62.183,34.886,87.45
2008-06-02,100.823,62.415,35.351,87.96
2008-06-03,100.235,62.532,34.516,86.88
2008-06-04,100.185,62.309,34.0,86.65
2008-06-05,102.188,62.081,35.291,86.45
2008-06-06,98.929,62.427,36.194,89.06
2008-06-09,99.168,62.112,36.564,87.99
2008-06-10,98.675,61.784,36.418,85.55
2008-06-11,97.223,61.864,37.76,87.02
2008-06-12,97.593,61.481,37.751,85.6
2008-06-13,98.827,61.327,37.51,85.83
2008-06-16,98.885,61.394,37.476,87.01
2008-06-17,98.406,61.605,37.854,87.25
2008-06-18,97.448,61.864,38.37,88.28
2008-06-19,97.571,61.549,37.476,88.42
2008-06-20,95.988,61.735,37.734,88.95
2008-06-23,95.893,61.654,38.001,87.09
2008-06-24,95.703,61.778,38.009,87.47
2008-06-25,96.155,61.809,37.863,87.42
2008-06-26,93.544,61.889,39.119,90.61
2008-06-27,93.033,62.037,39.222,91.47
2008-06-30,93.361,62.068,38.525,91.4
